borrower_id,loan_id,default_date,default_flag
1117,292,2013-10-07 11:12:54,True
1148,289,,False
1148,4006,2014-07-24 00:00:00,True
1149,327,2014-01-24 07:54:53,True
1150,280,,False
1150,820,2013-06-04 20:31:06,True
1152,876,,False
1152,4015,,False
1153,274,,False
1156,286,,False
1156,913,,False
1156,30783,2016-11-03 23:59:59,True
1164,1925,,False
1164,3289,2015-07-10 00:00:00,True
1165,278,,False
1165,1846,2013-09-13 00:00:00,True
1173,295,2013-08-16 13:17:30,True
1174,527,2013-05-11 08:45:48,True
1175,325,,False
1175,1234,2013-10-17 19:00:00,True
1197,282,,False
1197,749,,False
1197,3988,2014-11-09 23:00:00,True
1210,284,,False
1210,2962,2015-11-14 23:00:00,True
1211,283,,False
1211,653,,False
1211,2923,,False
1211,6867,,False
1211,21526,2016-04-24 23:59:59,True
1214,303,,False
1214,688,,False
1214,3599,,False
1214,27823,2017-01-01 23:59:59,True
1218,314,,False
1218,689,,False
1218,2973,2014-05-25 00:00:00,True
1224,296,,False
1224,1992,,False
1229,698,,False
1232,307,,False
1232,523,,False
1232,1788,,False
1249,589,2013-03-04 02:57:55,True
1258,305,,False
1258,558,,False
1258,1226,2013-11-03 18:00:00,True
1264,291,2014-10-06 11:30:36,True
1267,290,,False
1267,2188,2013-11-19 23:00:00,True
1274,293,,False
1274,999,,False
1274,5779,2014-09-20 00:00:00,True
1277,315,,False
1277,694,2013-04-09 06:05:55,True
1281,298,2012-10-17 08:20:50,True
1285,304,,False
1285,948,2013-05-09 19:00:00,True
1288,326,2013-02-01 07:36:01,True
1290,302,,False
1290,695,,False
1290,4014,,False
1290,10543,,False
1290,26760,2016-07-30 23:59:59,True
1293,309,,False
1293,3280,2014-03-23 00:00:00,True
1294,310,2013-06-17 08:21:18,True
1295,308,,False
1295,1095,2014-01-29 18:00:00,True
1296,311,2013-05-14 08:11:44,True
1301,322,,False
1301,754,,False
1301,3198,2015-01-09 23:00:00,True
1306,504,2013-11-19 05:32:04,True
1318,362,2013-07-03 09:22:10,True
1326,333,,False
1326,2052,,False
1326,3843,2014-08-20 00:00:00,True
1329,313,,False
1329,1592,2013-12-19 23:00:00,True
1332,480,2014-01-12 04:54:47,True
1335,312,,False
1335,1326,2013-07-14 19:00:00,True
1336,323,2013-04-02 12:56:25,True
1341,329,,False
1341,842,,False
1341,4086,2015-07-20 00:00:00,True
1342,336,,False
1342,1393,2013-05-29 19:00:00,True
1358,328,2013-06-13 22:30:09,True
1364,457,,False
1364,3208,,False
1364,11859,2015-05-17 20:08:36,True
1365,519,,False
1365,2907,2014-04-02 00:00:00,True
1366,373,2013-10-24 06:43:48,True
1369,332,,False
1371,334,,False
1371,1468,,False
1371,5201,2014-08-08 00:00:00,True
1470,741,2014-01-14 18:00:00,True
1471,442,,False
1471,2822,,False
1471,10612,2016-01-10 23:59:59,True
1484,339,,False
1484,4295,2015-11-15 23:00:00,True
1485,340,,False
1485,635,2013-07-17 05:59:25,True
1511,348,,False
1511,1768,,False
1521,372,,False
1530,452,,False
1531,420,,False
1531,3006,,False
1533,345,2013-07-17 10:21:00,True
1537,455,,False
1545,393,,False
1545,1387,,False
1545,4022,2014-10-15 00:00:00,True
1546,382,,False
1546,566,2013-03-22 16:58:38,True
1552,355,,False
1552,4452,,False
1561,422,,False
1561,617,,False
1561,2645,,False
1561,7603,,False
1561,11165,,False
1561,22274,,False
1563,376,,False
1563,624,,False
1563,3411,,False
1563,6257,,False
1563,15352,,False
1563,24138,,False
1563,33272,2016-11-01 23:59:59,True
1566,356,,False
1566,1993,,False
1567,367,,False
1567,3860,2015-08-15 00:00:00,True
1568,358,,False
1568,1466,,False
1569,361,,False
1569,2205,,False
1569,6186,2014-08-18 23:51:44,True
1571,357,,False
1572,354,,False
1572,1867,2014-01-31 23:00:00,True
1578,533,,False
1578,1512,,False
1578,5730,,False
1583,1331,2013-07-18 19:00:00,True
1591,410,2013-08-06 06:43:50,True
1595,405,2013-05-20 17:54:15,True
1600,428,,False
1600,1038,,False
1600,4716,,False
1600,19319,2017-02-15 23:59:59,True
1601,551,,False
1601,6181,2014-09-19 00:00:00,True
1604,513,,False
1604,2166,,False
1604,5721,2014-07-05 00:00:00,True
1610,381,2013-04-17 19:41:09,True
1612,384,2013-01-16 07:29:32,True
1621,391,,False
1621,4232,2015-02-14 23:00:00,True
1626,395,,False
1626,1429,2013-12-20 18:00:00,True
1627,397,2013-06-10 05:38:42,True
1628,484,,False
1628,4735,2014-03-31 00:00:00,True
1629,398,2013-03-27 06:10:03,True
1633,439,2013-07-21 10:55:47,True
1648,660,,False
1648,1353,2013-07-04 19:00:00,True
1656,486,,False
1656,1839,,False
1656,4682,2014-08-10 00:00:00,True
1669,388,,False
1669,1990,2014-01-09 23:00:00,True
1673,560,2013-03-16 15:38:21,True
1674,433,,False
1674,658,,False
1674,2838,2014-02-15 23:00:00,True
1675,430,,False
1675,3254,2014-10-12 00:00:00,True
1676,399,,False
1676,2752,,False
1676,31127,2016-11-07 23:59:59,True
1677,460,,False
1677,4619,2014-07-15 00:00:00,True
1678,615,,False
1678,4471,,False
1678,32204,2016-11-02 23:59:59,True
1679,396,,False
1679,3196,,False
1682,490,2012-10-07 08:25:00,True
1683,468,,False
1691,464,2013-05-24 10:32:29,True
1692,492,,False
1692,3107,,False
1692,26632,2016-03-27 23:59:59,True
1693,415,,False
1693,4420,2014-08-05 00:00:00,True
1695,423,,False
1695,4083,2014-02-17 23:00:00,True
1697,515,,False
1697,2204,,False
1697,7508,,False
1697,27700,2016-11-05 23:59:59,True
1701,757,2013-01-30 08:32:18,True
1703,435,2013-11-07 07:22:12,True
1704,651,,False
1704,2889,,False
1704,6146,,False
1704,10640,2017-02-05 23:59:59,True
1708,429,2013-10-21 10:53:34,True
1732,473,,False
1732,1336,,False
1732,4727,,False
1732,12584,2016-10-02 23:17:52,True
1737,520,2013-05-02 06:40:56,True
1738,403,2013-06-15 14:31:16,True
1740,550,,False
1745,565,,False
1745,4717,2015-06-19 00:00:00,True
1747,402,,False
1747,1258,,False
1747,3183,,False
1747,6388,2014-09-25 00:00:00,True
1748,448,,False
1748,7907,2014-11-15 21:59:19,True
1751,419,,False
1754,447,,False
1754,2635,,False
1754,4756,,False
1754,8749,,False
1754,10929,2015-04-01 06:08:30,True
1756,559,,False
1756,2966,,False
1756,24813,2016-10-23 23:59:59,True
1757,451,,False
1757,1231,,False
1757,4174,2014-11-18 23:00:00,True
1761,471,,False
1765,427,,False
1765,1028,2013-12-14 18:00:00,True
1768,436,,False
1768,856,,False
1769,489,2013-04-15 18:55:59,True
1770,525,2013-04-26 07:14:47,True
1771,453,2013-04-07 08:23:14,True
1774,432,2013-07-18 11:16:02,True
1775,498,,False
1775,1232,,False
1775,2023,2014-03-30 00:00:00,True
1783,512,,False
1783,3401,,False
1783,4597,2015-01-14 23:00:00,True
1784,438,,False
1784,3132,2014-10-15 00:00:00,True
1787,502,,False
1787,3760,,False
1787,4267,2014-09-24 00:00:00,True
1788,1301,2014-01-14 18:00:00,True
1791,616,2013-03-03 15:58:44,True
1795,503,,False
1795,3491,2014-03-15 00:00:00,True
1796,469,,False
1802,434,,False
1803,446,2014-01-07 07:21:13,True
1820,437,,False
1820,1637,2013-08-20 00:00:00,True
1830,521,2013-06-02 06:47:44,True
1834,1319,,False
1835,445,2013-10-07 07:42:57,True
1840,481,,False
1845,577,,False
1845,4634,2014-04-19 00:00:00,True
1846,2514,,False
1846,3166,,False
1846,4412,2014-08-19 00:00:00,True
1847,477,2013-07-03 15:07:11,True
1851,554,,False
1851,1688,,False
1851,3558,,False
1851,6678,,False
1851,11659,,False
1852,819,2013-06-14 19:00:00,True
1853,718,2013-08-04 20:31:52,True
1855,518,2013-06-02 06:39:35,True
1859,466,,False
1859,1648,,False
1859,4718,2014-11-14 23:00:00,True
1860,508,,False
1860,3145,2014-04-10 00:00:00,True
1861,510,2013-01-24 14:08:31,True
1862,538,2014-01-11 07:47:40,True
1863,514,,False
1863,2379,,False
1863,4730,,False
1863,6059,,False
1863,15724,2016-08-28 23:59:59,True
1864,467,,False
1864,17133,2015-09-27 23:59:59,True
1866,544,,False
1866,2796,2013-12-14 23:00:00,True
1872,543,2014-07-17 05:53:02,True
1873,647,2013-04-10 10:02:35,True
1877,573,,False
1877,2183,,False
1877,7725,2014-09-15 00:00:00,True
1881,784,2014-03-14 19:00:00,True
1897,547,,False
1897,2712,2014-01-14 23:00:00,True
1898,1250,,False
1898,4173,2015-02-14 23:00:00,True
1900,542,,False
1900,3812,,False
1907,516,,False
1907,3235,2015-09-07 00:00:00,True
1915,526,,False
1915,2986,,False
1915,10512,,False
1915,34886,2016-11-12 23:59:59,True
1916,541,,False
1916,3908,2014-03-15 00:00:00,True
1918,545,,False
1918,3061,2014-10-15 00:00:00,True
1923,549,,False
1923,2845,,False
1924,671,,False
1924,2949,,False
1924,6774,,False
1924,24932,2017-01-15 23:59:59,True
1928,553,,False
1928,4498,2015-05-18 00:00:00,True
1929,587,,False
1929,4246,,False
1929,9433,,False
1931,500,,False
1932,646,,False
1932,3224,,False
1933,507,2013-08-07 05:54:13,True
1934,506,,False
1934,3495,2016-12-09 23:00:00,True
1935,592,,False
